accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.04,-0.01,1.02,-0.24,0.51,0.04
-0.04,-0.01,1.02,-0.24,0.55,-0.01
-0.04,-0.01,1.02,-0.25,0.49,0.0
-0.04,-0.01,1.02,-0.22,0.48,-0.04
-0.04,-0.01,1.02,-0.23,0.52,0.01
-0.04,-0.01,1.02,-0.24,0.53,0.01
-0.04,-0.01,1.02,-0.2,0.44,-0.04
-0.04,-0.01,1.02,-0.19,0.51,-0.05
-0.03,-0.01,1.02,-0.19,0.53,-0.07
-0.04,-0.01,1.02,-0.16,0.47,-0.02
-0.03,-0.01,1.02,-0.27,0.51,0.0
-0.04,-0.01,1.02,-0.2,0.43,0.0
-0.04,-0.01,1.02,-0.18,0.46,-0.01
-0.04,-0.01,1.02,-0.21,0.56,0.0
-0.04,-0.01,1.02,-0.19,0.53,0.01
-0.04,-0.01,1.02,-0.21,0.5,0.02
-0.04,-0.01,1.02,-0.22,0.47,0.01
